,Group,Point,mean_rank,measures
790,ST68,R098,21.0,2
791,ST68,R103,24.0,2
792,ST69,F1001,41.5,2
793,ST69,L0823,68.0,2
794,ST69,L0824,97.0,2
795,ST69,L0826,87.5,2
796,ST69,L0835,60.0,2
797,ST69,L0901,70.5,2
798,ST69,L0902,90.0,2
799,ST69,L0904,103.5,2
800,ST69,L0905,80.0,2
801,ST69,L0906,64.5,2
802,ST69,L0907,88.0,2
803,ST69,L1063,60.0,2
804,ST69,R098,47.0,2
805,ST69,R103,49.0,2
806,ST91,L0729,42.0,2
807,ST91,L0742,35.0,2
808,ST50,L1206,116.5,2
809,ST50,L1207,128.5,2
810,ST50,L1208,136.0,2
811,ST50,L1217,76.5,2
812,ST51,L1206,33.0,2
813,ST51,L1207,34.0,2
814,ST51,L1208,57.5,2
815,ST51,L1217,30.5,2
816,ST058,L0823,29.5,2
817,ST058,L0825,79.0,2
818,ST058,L0826,45.0,2
819,ST058,L0835,45.0,2
820,ST058,L0901,78.0,2
821,ST058,L0902,109.5,2
822,ST058,L0907,59.5,2
823,ST066,L1041,56.0,2
824,ST066,L1044,112.5,2
825,ST067,L1041,14.5,2
826,ST067,L1044,50.0,2
827,ST067,L1124,53.0,2
828,ST65,L0826,39.5,2
829,ST65,L0835,60.5,2
830,ST65,L0907,34.0,2
831,ST65,L1063,14.5,2
832,ST65,R103,17.5,2
833,ST65,R108,20.0,2
834,ST102,L0209,117.5,2
835,ST102,L0210,109.5,2
836,ST102,L0211,84.5,2
837,ST102,L0301,36.0,2
838,ST102,L0302,43.5,2
839,ST102,L0304,96.5,2
840,ST102,L0305,76.5,2
841,ST102,L0402,64.5,2
842,ST102,L0404,69.0,2
843,ST102,L0412,44.5,2
844,ST071,L0111,48.0,2
845,ST071,L1229,27.5,2
846,ST071,L1233,33.5,2
847,ST071,L1298,44.0,2
848,ST072,L0111,49.5,2
849,ST072,L1229,30.0,2
850,ST072,L1233,33.0,2
851,ST072,L1298,16.5,2
852,ST82,F0402,35.0,2
853,ST82,L0111,31.5,2
854,ST82,L0211,26.5,2
855,ST82,L0301,20.5,2
856,ST82,L0302,44.5,2
857,ST82,R033,39.5,2
858,ST82,R046,28.5,2
859,ST053,L0738,18.5,2
860,ST053,L0822,71.5,2
861,ST053,L0828,49.5,2
862,ST049,L0738,16.0,2
863,ST049,L0741,20.5,2
864,ST077,L0741,27.0,2
865,ST061,L1027,33.5,2
866,ST061,L1041,94.5,2
867,ST062,L1027,19.0,2
868,ST062,L1061,27.5,2
869,ST062,L1062,20.5,2
870,ST72,F1104,59.5,2
871,ST72,F1201,83.0,2
872,ST72,F1202,82.0,2
873,ST72,R098,46.0,2
874,ST83,L0402,70.0,2
875,ST83,L0404,48.0,2
876,ST83,L0412,41.5,2
877,ST83,R046,52.5,2
878,ST84,L0402,82.5,2
879,ST84,L0412,43.5,2
880,ST84,R046,42.5,2
881,ST86,F0704,49.5,2
